time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.4005534054955728e-06,7.103727657681443e-07,10.00399205197704,0.0005410962832286259,0.0009146038801928214,0.0,-0.00010669530566952888,5.721159570325829e-05,0.13306140116525828,0.02274432632604526,0.03532884072689319,0.0,445.1028683216399,447.98426022163756,447.06135519255866,448.91033381829243
0.12000000000000001,-3.715891362127343e-05,2.190760439687242e-05,10.016814445860557,0.0016414457462641252,0.002693770248225036,0.0,-0.0013056762512928212,0.0007883704385341229,0.2943227732919271,0.007624350063924235,0.014786141981848645,0.0,456.45987895497103,454.8180861221983,456.87583914523356,455.66887927214503
0.18,-0.00017497414404916997,0.00010786129491022886,10.037647501319988,0.0036580357250892703,0.003479905399720984,0.0,-0.003374374770339759,0.002228770299424832,0.40008008326273026,0.061440808450756224,0.009501864466197578,0.0,438.75242311188583,438.3134439298235,436.8940736224248,441.35792827179677
0.23999999999999996,-0.0004736851457289482,0.0003577748221649735,10.070789274927966,0.007151131171119651,0.004194973904940724,0.0,-0.006667685389582045,0.006577170937023897,0.7045055884299486,0.05083953673471688,0.016357957432283188,0.0,496.7802794865205,497.28253809944505,498.89420848444354,498.12161253785035
0.3,-0.0009684082222365167,0.000921137664500736,10.117038400403413,0.011302896474653323,0.005121654621786931,0.0,-0.009924691136785364,0.012600570597087732,0.837039928757964,0.09186811662545379,0.0135526220006239,0.0,448.23324850511096,448.00513897234435,445.4884352323485,448.83341749169847
0.36000000000000004,-0.0016667565637246441,0.0019170980035840323,10.169070548312414,0.01642817150021969,0.006163749430310617,0.0,-0.013443410787846461,0.021113476075244567,0.897311914156296,0.06765083407377441,0.024076180045011632,0.0,424.96050727725105,425.86143831192265,425.33823774542014,423.2655808817671
0.4200000000000001,-0.0026132910974411817,0.0035571973561901275,10.226947162703965,0.02091582610726128,0.00793360317711489,0.0,-0.018281070534169747,0.03401530498946134,1.031786835576294,0.08620519611753717,0.03858461151796073,0.0,448.1413479464332,449.31920493933166,447.6644116733506,449.1756839982448
0.48000000000000015,-0.0038798086331360017,0.006042059531691808,10.291488868909171,0.026106505595279828,0.00999359434067415,0.0,-0.024156469726462952,0.04933064661441468,1.1195070822569262,0.08711625201697651,0.024078903570944266,0.0,435.03089342740964,433.8152252648919,433.8078633996723,433.89073092566656
0.5400000000000001,-0.00556472452762417,0.009623354451554985,10.36395410390846,0.03109968586714551,0.011170305262703906,0.0,-0.03215631205862882,0.07062127597406738,1.2957988989005347,0.0739980778139045,0.008710186204190663,0.0,462.10317803488147,460.89019021219025,462.6748295029325,461.6462902679721
0.6000000000000002,-0.007763251358742328,0.0146221478677118,10.44788085628154,0.035855734367341796,0.012020866033175537,0.0,-0.0412080538884356,0.0965398725727895,1.5014922014333376,0.088135100710671,0.023326998484322792,0.0,470.2812928106818,471.4118868727409,470.6598919081444,471.75722288002174
0.6600000000000003,-0.010516121204294966,0.021255303443276717,10.543126566429601,0.040697192318522646,0.013034637276780003,0.0,-0.050692848419991846,0.12513473492397723,1.6731039191730424,0.05849199683491895,-0.0008262791379740654,0.0,462.7221630359982,460.8169330594405,462.2677492192338,459.93086783937684
0.7200000000000003,-0.013839080568019033,0.02965560888640412,10.64742585120379,0.044163268066477634,0.013113126749756177,0.0,-0.060071833169041834,0.15523811827313597,1.8033243975049447,0.056279628124825946,0.005267872228553823,0.0,449.499866535709,449.99339424326666,449.01295314960015,448.8357207039572
0.7800000000000004,-0.017692014409934054,0.03981467330049743,10.756823754322545,0.047314733001831755,0.013301966766729123,0.0,-0.06838241384323679,0.18369881440393127,1.8431919559030583,0.04369799286537433,-0.0014726437753589255,0.0,421.00307899396057,420.4194395968406,421.61605442426236,420.52962681049064
0.8400000000000004,-0.02204780432515836,0.05174506792613431,10.868757049949114,0.04992611988728424,0.013259944654235412,0.0,-0.07680363857277965,0.2142218602384245,1.887830252592585,0.04317115057079971,0.0008012206207004462,0.0,423.04730559487956,423.24305693208805,422.1668208971262,422.12253141114604
0.9000000000000005,-0.026943669106791048,0.0656894753914243,10.986008968782318,0.05253870355156476,0.012915978334643086,0.0,-0.08637859616031274,0.2508567435476963,2.0203239601331178,0.04427648374225489,-0.023875848642812794,0.0,451.88605816062454,449.8926198077462,450.79516184841066,450.88549554331996
0.9600000000000005,-0.03239121886537833,0.08184793842894754,11.110442231085802,0.05476085462697977,0.011722071236560438,0.0,-0.09506970417712618,0.2880049439858366,2.127241685423657,0.01580215780577559,-0.012940766300061647,0.0,442.65526800801956,443.55418593424594,444.8933112829965,442.5564679457535
1.0200000000000005,-0.038349111002724895,0.10032933624106292,11.242285115905256,0.05549507467339598,0.01084130936532457,0.0,-0.10343452195238216,0.32811655442570176,2.267244730556272,0.003932756553169962,-0.01840526406255389,0.0,454.79715206363716,454.3593948549181,454.1679402820005,453.2148793304074
1.0800000000000005,-0.04479742674503832,0.12127707925129647,11.383370322669501,0.05573546826077003,0.009792989165783084,0.0,-0.1113852059754841,0.37014620233903084,2.435246905055695,0.004153768011016154,-0.01566802901096703,0.0,464.2509829898057,464.4657848004186,462.0842934154447,462.101638327814
1.1400000000000006,-0.05176686659384631,0.14514177263298148,11.541526128556022,0.05583646280609589,0.008677338131033885,0.0,-0.12077138100892294,0.4253159101070198,2.835699984442208,-0.003783256259429959,-0.025203865090396675,0.0,528.8064367091379,528.1492899598359,530.3513486431228,529.8059151439951
